year,june_onset,sept_end,month,day,monthend,dayend
1968,17,21,6,17,9,21
1969,2,28,6,2,9,28
1970,16,30,6,16,9,30
1971,10,13,6,10,9,13
1972,18,26,6,18,9,26
1973,14,27,6,14,9,27
1974,19,21,6,19,9,21
1975,16,18,6,16,9,18
1976,9,21,6,9,9,21
1977,18,18,6,18,9,18
1978,8,16,6,8,9,16
1979,24,4,6,24,9,4
1980,12,NA,6,12,NA,NA
1981,23,11,6,23,9,11
1982,27,20,6,27,9,20
1983,24,29,6,24,9,29
1984,11,20,6,11,9,20
1985,17,26,6,17,9,26
1986,12,5 October 2016,6,12,9,5
1987,14,26,6,14,9,26
1988,11,9,6,11,9,9
1989,11,2 October 2016,6,11,9,2
1990,12,30,6,12,9,30
1991,9,19,6,9,9,19
1992,21,19,6,21,9,19
1993,8,28,6,8,9,28
1994,10,23,6,10,9,23
1995,4,2,6,4,9,2
1996,31st May ,18,5,31,9,18
1997,14,23,6,14,9,23
1998,13,3 October 2016,6,13,10,3
1999,11,8 October 2016,6,11,10,8
2000,6,25,6,6,9,25
2001,3,25,6,3,9,25
2002,15,19,6,15,9,19
2003,16,30,6,16,9,30
2004,9,1-Oct. ,6,9,10,1
2005,20,2-Oct. ,6,20,10,2
2006,1,29,6,1,9,29
2007,7,9 October 2016,6,7,10,9
2008,10,17 October 2016,6,10,10,17
2009,23,15 October 2016,6,23,10,15
2010,17,1 October 2016,6,17,10,1
2011,15,7 October 2016,6,15,10,7
2012,16,28 September 2016,6,16,9,28
2013,14,19 October 2016,6,14,10,19
2014,20,7 October 2016,6,20,10,7
2015,13,NA,6,13,NA,NA
2016,15,15-Oct-16,6,15,10,15
2017,12,NA,6,12,10,16
2018,8,5-Oct,6,8,10,5
2019,20-Jun,12-Oct,6,20,10,12
2020,12-Jun,,6,12,,
